playerid,namefirst,namelast,intposition,int,intyards,inttd
20030036,Eugene,Wilson,DB,1,14,0
20000091,David,Macklin,CB,1,0,0
19970057,James,Darling,LB,1,65,0
20030036,Eugene,Wilson,DB,1,13,0
20040012,Jonathan,Vilma,LB,1,6,0
20000102,David,Barrett,CB,1,14,0
19920005,Terrell,Buckley,CB,1,18,0
20000091,David,Macklin,CB,1,0,0
20010482,Ifeanyi,Ohalete,S,1,1,0
20010202,Renaldo,Hill,CB,1,2,0
20040033,Karlos,Dansby,OLB,1,2,0
20010040,Ken,Lucas,CB,1,21,1
19980010,Duane,Starks,CB,1,5,0
20000091,David,Macklin,CB,1,2,0
19980035,Tony,Parrish,S,1,25,0
20000091,David,Macklin,CB,1,0,0
20010084,Dwight,Smith,S,1,13,0
20040064,Darnell,Dockett,DT,1,20,0
20010064,Adrian,Wilson,S,1,24,0
20010064,Adrian,Wilson,S,1,11,0
20040028,Chris,Gamble,CB,1,2,0
20040028,Chris,Gamble,CB,1,0,0
19960063,Aaron,Beasley,CB,1,30,0
19960063,Aaron,Beasley,CB,1,32,0
20040140,Alex,Lewis,LB,1,33,0
19970438,Kevin,Mathis,CB,1,20,0
19980085,Allen,Rossum,CB,1,14,0
20020025,Charles,Grant,DE,1,8,0
20040008,DeAngelo,Hall,CB,1,2,0
19990153,Roderick,Coleman,DT,1,39,1
19980012,Keith,Brooking,LB,1,2,0
20030046,Drayton,Florence,CB,1,3,0
19960063,Aaron,Beasley,CB,1,0,0
20000048,Jason,Webster,CB,1,0,0
19970066,Ronde,Barber,CB,1,0,0
19980085,Allen,Rossum,CB,1,8,0
19980097,Fred,Weary,CB,1,49,1
20010152,Raymond,Walls,CB,1,17,0
19890005,Deion,Sanders,CB,1,48,1
19890005,Deion,Sanders,CB,1,0,0
20020209,Chad,Williams,S,1,94,0
20020024,Ed,Reed,S,1,14,0
20040056,Madieu,Williams,FS,1,0,0
20020024,Ed,Reed,S,1,21,0
20020024,Ed,Reed,S,1,106,1
20020024,Ed,Reed,S,1,2,0
20020209,Chad,Williams,S,1,44,1
20030137,Terrence,Holt,S,1,35,0
20030182,Gerome,Sapp,S,1,0,0
20030109,Jarret,Johnson,DE,1,6,1
20020024,Ed,Reed,S,1,41,0
20020052,Anthony,Weaver,DE,1,1,0
20010062,Gary,Baxter,CB,1,33,0
20020024,Ed,Reed,S,1,6,0
20000186,Adalius,Thomas,DE,1,8,0
19990010,Chris,McAlister,DB,1,51,1
19920007,Troy,Vincent,CB,1,8,0
20000095,Lewis,Sanders,DB,1,24,0
20010021,Nate,Clements,CB,1,5,0
