playerid,namefirst,namelast,sackposition,sacktype,sackyards,sackend
20010230,Ross,Kolodziej,DE,1,-8,in bounds
19940004,Willie,McGinest,LB,1,0,in bounds
19940145,Rodney,Harrison,S,1,-6,in bounds
19940004,Willie,McGinest,LB,1,-9,in bounds
19940145,Rodney,Harrison,S,1,-15,in bounds
19970091,Mike,Vrabel,LB,1,-13,in bounds
19970086,Bertrand,Berry,DE,1,-4,in bounds
20030018,Calvin,Pace,DE,1,-4,in bounds
20000033,Darren,Howard,DE,1,-5,in bounds
20020025,Charles,Grant,DE,1,-11,in bounds
20030056,Osi,Umenyiora,DE,1,-6,in bounds
19970086,Bertrand,Berry,DE,1,-6,in bounds
20040033,Karlos,Dansby,OLB,1,-5,in bounds
19970086,Bertrand,Berry,DE,1,-5,in bounds
20040033,Karlos,Dansby,OLB,1,-5,in bounds
19970086,Bertrand,Berry,DE,1,-4,in bounds
19970086,Bertrand,Berry,DE,1,-7,in bounds
20010554,Lance,Legree,DT,1,-10,in bounds
20040064,Darnell,Dockett,DT,0.5,-8,in bounds
19970086,Bertrand,Berry,DE,1,-6,in bounds
20000012,Shaun,Ellis,DE,1,-7,in bounds
20030587,Akbar,Gbaja-Biamila,LB,1,-4,in bounds
19980152,Travian,Smith,DE,1,-3,in bounds
19980152,Travian,Smith,DE,1,-4,in bounds
20010034,Kyle,Vanden Bosch,DE,1,-6,in bounds
19970086,Bertrand,Berry,DE,1,-2,in bounds
20020611,Grant,Irons,DE,1,0,in bounds
20010034,Kyle,Vanden Bosch,DE,1,-4,in bounds
20040098,Shaun,Phillips,LB,1,-7,in bounds
20040133,Dave,Ball,DE,1,-8,in bounds
20030655,Tracy,White,LB,1,-7,in bounds
19990115,Antonio,Cochran,DE,1,-10,in bounds
19990089,Chike,Okeafor,DE,1,-6,in bounds
20000041,Raynoch,Thompson,LB,1,-7,in bounds
20010007,Andre,Carter,DE,1,-8,in bounds
19970086,Bertrand,Berry,DE,1,-7,in bounds
19970086,Bertrand,Berry,DE,0.5,-8,in bounds
20010020,Adam,Archuleta,S,1,-6,in bounds
20010202,Renaldo,Hill,CB,1,-12,in bounds
20040091,Tony,Hargrove,DE,1,-10,in bounds
20040033,Karlos,Dansby,OLB,1,-5,in bounds
20010064,Adrian,Wilson,S,1,-1,in bounds
19990048,Russell,Davis,DT,1,-8,in bounds
19970086,Bertrand,Berry,DE,1,-10,in bounds
19970086,Bertrand,Berry,DE,1,-12,in bounds
20040064,Darnell,Dockett,DT,1,-7,in bounds
19990132,Peppi,Zellner,DE,1,-3,in bounds
19990132,Peppi,Zellner,DE,1,-11,in bounds
19990030,Patrick,Kerney,DE,1,-7,in bounds
19990153,Roderick,Coleman,DT,1,-8,in bounds
19990153,Roderick,Coleman,DT,1,-12,in bounds
19970086,Bertrand,Berry,DE,1,-1,in bounds
19980010,Duane,Starks,CB,1,0,in bounds
20040033,Karlos,Dansby,OLB,1,-5,in bounds
20030018,Calvin,Pace,DE,1,-6,in bounds
19990030,Patrick,Kerney,DE,1,-14,in bounds
19960070,Brady,Smith,DE,1,-12,in bounds
19990030,Patrick,Kerney,DE,1,-6,in bounds
19980012,Keith,Brooking,LB,1,-4,in bounds
19990038,Mike,Rucker,DE,1,-2,in bounds
19990030,Patrick,Kerney,DE,1,-14,in bounds
19950013,Mark,Fields,LB,1,-10,in bounds
19990153,Roderick,Coleman,DT,1,-2,in bounds
19960070,Brady,Smith,DE,1,-6,in bounds
19940050,Brentson,Buckner,DT,1,-12,in bounds
19970401,Al,Wallace,DE,1,-5,in bounds
20030055,Bryan,Scott,S,1,-14,in bounds
20030055,Bryan,Scott,S,1,-6,in bounds
20030259,Elton,Patterson,DE,1,-7,in bounds
20020661,Bruce,Adrine,DE,1,-14,in bounds
20040621,Curome,Cox,CB,1,-9,in bounds
20020035,Kalimba,Edwards,DE,1,-8,in bounds
19990153,Roderick,Coleman,DT,1,-10,in bounds
20010061,Shaun,Rogers,DT,1,-9,in bounds
20040140,Alex,Lewis,LB,1,-1,in bounds
19960070,Brady,Smith,DE,1,-9,in bounds
19960063,Aaron,Beasley,CB,1,-1,in bounds
20000517,James,Hall,DE,1,-6,in bounds
20010061,Shaun,Rogers,DT,1,-5,in bounds
19990070,Jared,DeVries,DE,1,-6,in bounds
19990119,Keith,Newman,LB,1,-9,in bounds
20040155,Rod,Davis,LB,1,-5,in bounds
20030415,Terrence,Robinson,LB,1,-6,in bounds
20040101,Demorrio,Williams,LB,1,-8,in bounds
20040101,Demorrio,Williams,LB,1,-11,in bounds
20040101,Demorrio,Williams,LB,0.5,-8,in bounds
20040018,Will,Smith,DE,1,-2,in bounds
19990153,Roderick,Coleman,DT,1,-5,in bounds
19960070,Brady,Smith,DE,1,-1,in bounds
20040240,Colby,Bockwoldt,LB,1,0,in bounds
19990153,Roderick,Coleman,DT,1,-10,in bounds
20010572,Tim,Johnson,LB,0.5,-10,in bounds
20040008,DeAngelo,Hall,CB,0.5,-1,in bounds
20040035,Igor,Olshansky,DT,1,-5,in bounds
19980075,Steve,Foley,LB,1,-1,in bounds
20040543,Junior,Glymph,DE,1,-4,in bounds
19980075,Steve,Foley,LB,1,-6,in bounds
19970198,Ed,Jasper,DT,1,-8,in bounds
20030055,Bryan,Scott,S,1,-10,in bounds
19990030,Patrick,Kerney,DE,1,-9,in bounds
19960070,Brady,Smith,DE,1,-1,in bounds
19990030,Patrick,Kerney,DE,1,-7,in bounds
20030043,Pisa,Tinoisamoa,LB,1,-5,in bounds
19950181,Travis,Hall,DE,1,-2,in bounds
19990153,Roderick,Coleman,DT,1,-10,in bounds
19980065,Leonard,Little,DE,1,-14,in bounds
19980012,Keith,Brooking,LB,1,-20,in bounds
19960070,Brady,Smith,DE,1,-5,in bounds
19990030,Patrick,Kerney,DE,1,-8,in bounds
19960003,Simeon,Rice,DE,1,-7,in bounds
19990153,Roderick,Coleman,DT,1,-7,in bounds
19990153,Roderick,Coleman,DT,1,-10,in bounds
19930145,Chidi,Ahanotu,OT,0.5,-10,in bounds
19980012,Keith,Brooking,LB,1,-4,in bounds
20010102,Matt,Stewart,LB,0.5,-9,in bounds
20040101,Demorrio,Williams,LB,1,-1,in bounds
20030064,Dewayne,White,DE,1,0,in bounds
19940405,Shelton,Quarles,LB,0.5,-10,in bounds
20010102,Matt,Stewart,LB,1,-10,in bounds
19940405,Shelton,Quarles,LB,1,0,in bounds
20020536,Will,Demps,S,1,-9,in bounds
19990153,Roderick,Coleman,DT,1,-2,in bounds
19970438,Kevin,Mathis,CB,1,-5,in bounds
19990173,Kelly,Gregg,DT,1,-13,in bounds
20020539,Ma'ake,Kemoeatu,DT,1,-3,in bounds
20010103,Karon,Riley,DE,1,-2,in bounds
20020539,Ma'ake,Kemoeatu,DT,1,-8,in bounds
20040634,Steve,Stewart,OT,0.5,-4,in bounds
20010046,Aaron,Schobel,DE,1,-6,in bounds
20000186,Adalius,Thomas,DE,1,0,in bounds
19980417,London,Fletcher,LB,1,-9,in bounds
20020052,Anthony,Weaver,DE,1,-6,in bounds
19980013,Takeo,Spikes,LB,1,-1,in bounds
20010046,Aaron,Schobel,DE,1,-10,in bounds
20030010,Terrell,Suggs,LB,1,-5,in bounds
20030010,Terrell,Suggs,LB,1,-7,in bounds
20030010,Terrell,Suggs,LB,1,-9,in bounds
20000015,Deltha,O'Neal,CB,1,-8,in bounds
20000186,Adalius,Thomas,DE,1,-10,in bounds
20020052,Anthony,Weaver,DE,1,-8,in bounds
20030010,Terrell,Suggs,LB,0.5,-7,in bounds
20020536,Will,Demps,S,1,-9,in bounds
20000186,Adalius,Thomas,DE,1,-4,in bounds
19990020,Ebenezer,Ekuban,DL,1,-8,in bounds
20030010,Terrell,Suggs,LB,1,-7,in bounds
20020147,Kenyon,Coleman,DE,1,-4,in bounds
19990430,Marques,Douglas,DT,1,-21,in bounds
19990070,Jared,DeVries,DE,1,-6,in bounds
20020006,Ryan,Sims,DT,1,-1,in bounds
20020052,Anthony,Weaver,DE,1,-3,in bounds
19980462,Lional,Dalton,DT,1,-9,in bounds
19980475,Eric,Hicks,DE,1,-8,in bounds
19990075,Gary,Stills,DE,1,-9,in bounds
20000186,Adalius,Thomas,DE,1,0,in bounds
20030010,Terrell,Suggs,LB,1,-14,in bounds
20000186,Adalius,Thomas,DE,1,-2,in bounds
20030056,Osi,Umenyiora,DE,0.5,-6,in bounds
19990430,Marques,Douglas,DT,1,-5,in bounds
20040097,Reggie,Torbor,LB,1,-16,in bounds
19940424,Brent,Alexander,S,1,-5,in bounds
20040719,Jim,Maxwell,LB,1,-8,in bounds
20000186,Adalius,Thomas,DE,1,-4,in bounds
19980117,Deshea,Townsend,CB,1,-8,in bounds
20030010,Terrell,Suggs,LB,1,-8,in bounds
20010062,Gary,Baxter,CB,1,-2,in bounds
19990109,Aaron,Smith,DE,1,-3,in bounds
20020536,Will,Demps,S,1,-11,in bounds
20020209,Chad,Williams,S,1,-5,in bounds
20010076,Ron,Edwards,DT,1,-9,in bounds
20010021,Nate,Clements,CB,0.5,0,in bounds
20020097,Coy,Wire,S,1,-7,in bounds
19920007,Troy,Vincent,CB,1,-11,in bounds
19970470,Jeff,Posey,LB,1,-6,in bounds
19940008,Sam,Adams,DT,1,-8,in bounds
20030048,Chris,Kelsay,DE,1,-15,in bounds
